Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
celebratory	0.31	0	1	0.307692307692308	13	1,-3,1,2,2,1,0,1,-2,3,-2,-3,3
belly laugh	-1.25	-1	-3	0.5625	16	2,1,-3,-2,2,-3,-3,1,-3,2,-3,-3,-3,-3,1,-3
arousal	0.40	0	2	0.4	20	2,0,2,1,2,-3,-3,-3,-3,-3,1,1,3,2,2,1,2,2,0,2
freshstart	-0.79	-1	-3	0.285714285714286	14	2,-3,1,-3,0,-1,-3,0,-2,-3,2,-2,3,-2
consolation	-1.29	-1	-3	0.470588235294118	17	-1,-3,1,-3,-3,-2,3,-3,-2,2,-3,1,-3,-2,2,-3,-3
thriving	-0.84	-1	-3	0.526315789473684	19	0,3,3,3,-2,-3,-3,-3,-3,-3,3,3,-3,-3,-2,-3,-3,-3,3
restfulness	-1.58	-2	-3	0.736842105263158	19	-3,-3,3,0,-3,-3,-3,-3,-3,-3,-3,3,-3,3,-3,-3,-3,-3,3
prosperity	-0.88	-1	-3	0.5	16	1,-3,2,-3,-3,-3,-3,0,-3,3,-3,2,-1,3,-3,0
intoxicating	0.35	0	2	0.294117647058824	17	-2,2,-1,3,-3,3,-3,2,2,-3,-1,1,2,2,-1,0,3
fulfilling	-0.50	-1	-3	0.5	14	-3,1,-3,-3,-3,3,3,3,-2,-3,-3,3,3,-3
celebrate	0.80	1	3	0.4	15	-3,3,-3,-3,-3,3,3,3,1,-1,2,2,3,2,3
luckiest	-0.58	-1	-3	0.368421052631579	19	-3,1,-3,-3,0,-3,1,-3,-3,1,-3,1,3,0,-1,1,1,-1,3
hateyou	0.67	1	3	0.333333333333333	15	1,3,1,-2,3,3,1,-3,2,3,-3,-3,0,3,1
look forward	-0.11	0	-3	0.222222222222222	18	-3,0,1,-3,0,0,3,-2,-2,3,2,2,-3,-1,-3,2,1,1
blitheness	-1.38	-1	-3	0.5	16	-1,-3,2,1,1,-3,-3,3,-2,-3,0,-2,-3,-3,-3,-3
wisely	-1.64	-2	-3	0.642857142857143	14	3,-1,-3,0,-3,-3,2,-3,0,-3,-3,-3,-3,-3
sohappy	0.53	1	3	0.466666666666667	15	3,3,-3,0,-3,2,3,3,-2,3,-3,3,-3,3,-1
harmoniousness	-1.56	-2	-3	0.5625	16	0,0,-3,3,-3,-3,-3,-3,-3,-1,3,-2,-3,-3,-3,-1
fatal	1.53	2	3	0.588235294117647	17	3,3,2,2,-3,-3,3,-3,3,3,0,3,1,3,3,3,3
energize	-0.44	0	-3	0.375	16	0,3,3,0,3,-2,-3,-3,-3,-3,2,-3,-3,2,-1,1
uncaring	0.90	1	3	0.25	20	2,2,-3,3,1,0,3,-3,3,1,3,1,2,2,-3,2,-1,1,3,-1
unflawed	-0.78	-1	-3	0.444444444444444	18	0,-3,3,-1,0,-3,-3,-3,-3,-3,1,3,0,1,-3,3,-3,0
togetherness	0.56	1	3	0.3125	16	-3,-3,-3,3,2,3,0,1,1,3,-2,3,2,2,-3,3
fortitude	-1.39	-1	-3	0.555555555555556	18	1,2,0,-3,-3,-3,-3,-3,-3,2,2,-1,-3,-3,-3,-3,-2,1
lightless	1.31	1	3	0.5	16	3,3,0,3,0,3,-3,3,3,3,-2,2,1,-3,2,3
disorderedly	-0.06	0	-3	0.3125	16	2,2,-3,-3,-3,-3,-3,1,0,3,1,-1,2,1,2,1
dispirit	1.06	1	2	0.5	16	2,3,-3,2,-3,2,-3,0,3,2,2,1,3,2,2,2
blazing	0.80	1	2	0.333333333333333	15	2,2,0,-3,0,-3,-3,2,1,3,3,1,3,2,2
celebration	-1.00	-1	-3	0.388888888888889	18	1,-3,-3,1,0,3,-3,-3,-2,-1,1,-3,-3,-1,-2,1,-3,2
pleasurably	-0.75	-1	-3	0.4375	16	-1,-1,2,3,-3,-3,-3,-1,2,-3,-3,-3,3,-1,3,-3
wholesome	-1.17	-1	-3	0.666666666666667	18	3,3,-3,3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,1,-3,-3,2
exhilarated	0.56	1	3	0.444444444444444	18	-3,2,-3,3,3,-3,-3,2,-3,3,3,-3,-1,3,3,3,1,3
well off	-0.79	-1	-3	0.421052631578947	19	-2,-1,-3,2,-3,-3,-3,1,-3,1,-3,2,-3,3,-3,1,2,-2,2
incommunicado	-0.37	0	-3	0.315789473684211	19	2,2,2,2,1,-3,-3,-3,-3,-3,-2,-3,2,1,0,0,1,1,-1
vigor	0.17	0	0	0.388888888888889	18	0,0,3,0,3,-3,-3,-3,-3,3,2,0,1,0,0,2,0,1
lightning	0.90	1	2	0.4	20	0,0,2,2,2,2,-3,-3,-3,-3,1,2,3,3,3,2,2,1,2,3
encouraging	-0.92	-1	-3	0.461538461538462	13	2,2,-3,-3,-3,0,2,-3,-3,-2,1,-3,1
sightless	0.50	1	3	0.25	16	1,-3,3,1,3,3,3,-1,-3,1,1,0,2,0,0,-3
powerfulness	0.14	0	-3	0.285714285714286	14	-2,1,0,-3,-3,-3,2,3,2,1,3,1,-3,3
unemployment	0.73	1	2	0.666666666666667	15	2,2,-3,-3,2,-3,2,2,2,2,2,2,2,-1,1
take charge	0.12	0	0	0.25	16	2,0,-3,-3,-2,-3,-1,2,0,2,0,3,3,0,-1,3
revitalize	0.27	0	-3	0.266666666666667	15	-3,3,2,-3,-1,1,3,2,1,3,-3,-3,2,-1,1
welcomed	-0.69	-1	-3	0.375	16	1,1,0,1,1,-3,-3,1,-3,-3,3,-3,-2,-2,3,-3
retarded	1.13	1	3	0.4	15	3,-1,-3,-2,1,-3,1,3,3,3,3,2,3,2,2
sad story	0.11	0	3	0.166666666666667	18	1,2,-3,-2,2,1,-3,0,-2,1,0,-1,3,2,3,3,-2,-3
lovely	-0.88	-1	-3	0.470588235294118	17	-3,-3,-2,-3,0,2,1,-3,1,2,-3,-3,-3,-3,2,1,2
greatness	-0.67	-1	-3	0.333333333333333	18	3,0,3,-1,3,-3,-3,0,-3,-3,-2,-3,-3,-1,-2,3,1,-1
miserably	1.47	1	3	0.526315789473684	19	-3,2,-1,-3,2,3,1,-3,3,3,3,3,2,3,3,3,3,1,3
happy ending	-0.76	-1	-3	0.529411764705882	17	3,3,-3,-3,-3,-3,-3,2,-3,-3,-3,2,3,-3,-2,1,2
fascism	1.75	2	3	0.6875	16	3,3,3,2,3,-3,-3,3,-3,3,3,2,3,3,3,3
overjoyed	-1.05	-1	-3	0.578947368421053	19	-3,-3,3,3,3,-3,-3,-2,-3,-3,-3,-3,-3,3,-3,2,-2,-3,3
strong support	-0.18	0	-3	0.294117647058824	17	0,-3,3,3,0,0,-3,-3,2,-2,3,-3,-2,3,-3,2,0
appreciativeness	-0.06	0	-3	0.375	16	0,3,3,-3,2,-3,-3,2,2,-3,-1,2,3,-3,-3,1
ecstasy	-0.42	0	-3	0.473684210526316	19	-3,3,-3,-3,-3,-3,-3,2,-3,3,2,-3,2,-1,-3,3,1,2,2
kind hearted	-1.20	-1	-3	0.4	15	-1,-3,2,-3,0,3,-2,-3,-3,-3,-3,-2,-2,0,2
convivially	-0.07	0	1	0.333333333333333	15	2,-3,-3,-3,-2,1,3,1,3,1,1,-3,1,-3,3
jubilation	-0.47	0	-3	0.4	15	0,0,-3,-3,3,3,-3,-3,3,-3,3,-2,-3,-1,2
sorely needed	0.27	0	2	0.333333333333333	15	-3,-3,1,0,1,-3,2,-3,0,3,2,2,2,2,1
